iter	Passed	Remaining
305	2547	22424
306	2554	22407
307	2563	22409
308	2571	22390
309	2580	22389
310	2586	22361
311	2592	22331
312	2599	22313
313	2605	22290
314	2613	22280
315	2620	22255
316	2628	22242
317	2633	22213
318	2639	22182
319	2645	22157
320	2650	22124
321	2656	22089
322	2662	22070
323	2669	22046
324	2676	22027
325	2683	22010
326	2689	21988
327	2696	21969
328	2702	21940
329	2711	21934
330	2716	21907
331	2722	21881
332	2727	21847
333	2735	21831
334	2742	21818
335	2750	21804
336	2755	21776
337	2762	21755
338	2767	21725
339	2774	21708
340	2780	21680
341	2786	21656
342	2799	21688
343	2807	21675
344	2812	21646
345	2819	21627
346	2826	21611
347	2839	21636
348	2845	21617
349	2854	21612
350	2861	21592
351	2866	21565
352	2875	21559
353	2880	21533
354	2886	21506
355	2895	21501
356	2900	21476
357	2907	21456
358	2912	21429
359	2918	21402
360	2924	21379
361	2929	21346
362	2935	21325
363	2942	21311
364	2962	21383
365	2967	21358
366	2976	21353
367	2983	21341
368	2991	21330
369	2997	21308
370	3004	21289
371	3009	21257
372	3014	21228
373	3020	21204
374	3026	21188
375	3032	21161
376	3039	21145
377	3045	21122
378	3050	21094
379	3056	21072
380	3061	21048
381	3067	21021
382	3074	21005
383	3080	20983
384	3088	20977
385	3094	20953
386	3098	20923
387	3106	20911
388	3111	20886
389	3120	20880
390	3125	20857
391	3131	20836
392	3137	20813
393	3143	20792
394	3149	20767
395	3155	20750
396	3160	20721
397	3165	20697
398	3172	20678
399	3176	20650
400	3182	20628
401	3189	20609
402	3195	20592
403	3201	20574
404	3206	20547
405	3211	20521
406	3219	20508
407	3224	20487
408	3229	20460
409	3238	20456
410	3244	20435
411	3252	20431
412	3259	20415
413	3266	20402
414	3273	20389
415	3279	20368
416	3286	20355
417	3291	20332
418	3296	20308
419	3304	20300
420	3310	20279
421	3318	20269
422	3324	20252
423	3329	20231
424	3336	20217
425	3343	20200
426	3350	20186
427	3358	20182
428	3366	20174
429	3372	20157
430	3378	20138
431	3386	20133
432	3392	20109
433	3400	20102
434	3408	20097
435	3415	20087
436	3422	20071
437	3428	20054
438	3437	20054
439	3443	20036
440	3452	20032
441	3458	20017
442	3464	19998
443	3470	19976
444	3475	19954
445	3481	19938
446	3489	19927
447	3497	19924
448	3505	19914
449	3513	19909
450	3519	19892
451	3527	19883
452	3539	19901
453	3546	19889
454	3553	19874
455	3560	19863
456	3566	19847
457	3572	19829
458	3580	19823
459	3588	19814
460	3596	19807
461	3604	19800
462	3611	19786
463	3616	19765
464	3621	19744
465	3628	19730
466	3634	19712
467	3639	19691
468	3645	19674
469	3651	19654
470	3656	19632
471	3663	19621
472	3670	19610
473	3677	19595
474	3682	19578
475	3688	19558
476	3694	19539
477	3699	19516
478	3703	19491
479	3708	19472
480	3713	19447
481	3718	19426
482	3724	19410
483	3730	19391
484	3735	19368
485	3741	19351
486	3747	19337
487	3753	19320
488	3759	19305
489	3764	19281
490	3769	19260
491	3775	19243
492	3779	19219
493	3783	19194
494	3789	19176
495	3794	19157
496	3799	19135
497	3804	19112
498	3809	19094
499	3814	19073
500	3819	19053
501	3825	19036
502	3830	19015
503	3835	18995
504	3842	18982
505	3848	18968
506	3856	18961
507	3865	18964
508	3873	18956
509	3879	18941
510	3885	18923
511	3891	18909
512	3896	18888
513	3901	18870
514	3907	18855
515	3912	18835
516	3918	18817
517	3926	18815
518	3933	18805
519	3943	18806
520	3953	18809
521	3962	18808
522	3968	18793
523	3975	18787
524	3981	18770
525	3988	18761
526	3995	18748
527	4001	18732
528	4008	18722
529	4014	18708
530	4021	18696
531	4026	18680
532	4032	18662
533	4039	18653
534	4045	18639
535	4052	18628
536	4058	18613
537	4064	18601
538	4070	18586
539	4078	18580
540	4086	18572
541	4091	18555
542	4100	18553
543	4106	18537
544	4111	18522
545	4129	18559
546	4136	18548
547	4144	18542
548	4149	18527
549	4156	18515
550	4162	18498
551	4168	18486
552	4174	18470
553	4180	18455
554	4186	18442
555	4192	18428
556	4197	18408
557	4202	18392
558	4209	18379
559	4217	18374
560	4224	18364
561	4230	18353
562	4238	18345
563	4244	18332
564	4251	18322
565	4257	18307
566	4262	18291
567	4277	18314
568	4283	18299
569	4289	18288
570	4294	18268
571	4301	18258
572	4306	18241
573	4313	18228
574	4319	18216
575	4325	18204
576	4332	18195
577	4339	18183
578	4345	18168
579	4351	18157
580	4358	18145
581	4365	18136
582	4371	18121
583	4376	18103
584	4382	18090
585	4387	18074
586	4393	18059
587	4399	18045
588	4405	18031
589	4410	18016
590	4416	18003
591	4421	17984
592	4426	17967
593	4433	17957
594	4438	17941
595	4443	17924
596	4451	17915
597	4457	17903
598	4463	17889
599	4468	17873
600	4473	17857
601	4479	17843
602	4484	17828
603	4489	17810
604	4495	17796
605	4501	17784
606	4508	17774
607	4513	17756
608	4518	17739
609	4523	17722
610	4528	17707
611	4534	17693
612	4540	17681
613	4546	17666
614	4550	17647
615	4555	17630
616	4561	17619
617	4567	17604
618	4573	17592
619	4581	17586
620	4587	17575
621	4595	17569
622	4602	17559
623	4609	17552
624	4614	17536
625	4619	17519
626	4626	17508
627	4631	17493
628	4636	17476
629	4641	17462
630	4647	17447
631	4652	17432
632	4658	17417
633	4663	17403
634	4668	17388
635	4674	17375
636	4679	17359
637	4684	17342
638	4689	17326
639	4694	17311
640	4699	17294
641	4704	17277
642	4709	17262
643	4714	17247
644	4719	17230
645	4724	17216
646	4730	17202
647	4735	17186
648	4741	17174
649	4746	17159
650	4751	17145
651	4757	17133
652	4762	17118
653	4767	17103
654	4773	17090
655	4778	17074
656	4784	17061
657	4790	17050
658	4795	17035
659	4802	17025
660	4808	17014
661	4814	17002
662	4819	16988
663	4827	16982
664	4833	16972
665	4849	16993
666	4857	16989
667	4866	16988
668	4873	16980
669	4881	16975
670	4887	16963
671	4897	16967
672	4904	16958
673	4910	16946
674	4916	16936
675	4923	16927
676	4953	16995
677	4966	17008
678	5007	17115
679	5012	17101
680	5020	17095
681	5033	17107
682	5039	17096
683	5045	17085
684	5051	17070
685	5056	17055
686	5062	17043
687	5068	17031
688	5073	17016
689	5078	17001
690	5084	16991
691	5089	16974
692	5093	16957
693	5098	16941
694	5103	16927
695	5108	16911
696	5114	16898
697	5120	16886
698	5125	16871
699	5130	16856
700	5135	16843
701	5140	16827
702	5145	16813
703	5151	16799
704	5157	16787
705	5162	16774
706	5167	16760
707	5171	16742
708	5176	16726
709	5181	16712
710	5187	16699
711	5192	16684
712	5196	16669
713	5201	16655
714	5206	16640
715	5212	16627
716	5218	16615
717	5222	16599
718	5227	16585
719	5233	16574
720	5239	16560
721	5243	16543
722	5249	16531
723	5255	16520
724	5260	16507
725	5266	16496
726	5271	16481
727	5276	16466
728	5281	16453
729	5286	16437
730	5290	16422
731	5295	16407
732	5300	16394
733	5305	16379
734	5310	16364
735	5316	16353
736	5321	16338
737	5326	16324
738	5332	16315
739	5339	16306
740	5343	16290
741	5348	16277
742	5354	16266
743	5360	16253
744	5367	16245
745	5372	16232
746	5377	16219
747	5384	16209
748	5390	16198
749	5395	16186
750	5402	16178
751	5407	16164
752	5413	16154
753	5418	16139
754	5422	16123
755	5429	16114
756	5434	16102
757	5439	16089
758	5446	16082
759	5452	16069
760	5457	16057
761	5463	16046
762	5468	16033
763	5474	16021
764	5480	16010
765	5484	15996
766	5490	15985
767	5496	15973
768	5501	15960
769	5507	15950
770	5513	15939
771	5520	15933
772	5527	15924
773	5532	15911
774	5538	15901
775	5544	15890
776	5549	15876
777	5554	15863
778	5562	15858
779	5568	15847
780	5573	15835
781	5579	15824
782	5585	15814
783	5590	15802
784	5596	15791
785	5602	15782
786	5609	15774
787	5615	15763
788	5620	15750
789	5626	15739
790	5632	15728
791	5636	15714
792	5643	15706
793	5648	15692
794	5653	15680
795	5658	15666
796	5663	15655
797	5668	15641
798	5676	15635
799	5682	15626
800	5690	15620
801	5696	15612
802	5702	15603
803	5708	15591
804	5713	15578
805	5718	15567
806	5725	15559
807	5731	15549
808	5738	15540
809	5744	15531
810	5750	15522
811	5757	15514
812	5765	15508
813	5770	15496
814	5776	15486
815	5782	15475
816	5787	15463
817	5792	15450
818	5797	15437
819	5804	15431
820	5809	15418
821	5813	15404
822	5818	15390
823	5823	15379
824	5828	15365
825	5833	15354
826	5840	15346
827	5845	15333
828	5850	15321
829	5856	15311
830	5861	15299
831	5868	15291
832	5874	15282
833	5880	15272
834	5885	15261
835	5891	15249
836	5896	15237
837	5901	15225
838	5905	15211
839	5911	15200
840	5916	15188
841	5921	15177
842	5926	15164
843	5931	15152
844	5970	15227
845	5976	15216
846	5982	15207
847	5989	15199
848	5994	15188
849	5999	15175
850	6004	15164
851	6010	15154
852	6015	15140
853	6020	15129
854	6027	15121
855	6032	15110
856	6038	15099
857	6043	15087
858	6048	15074
859	6053	15064
860	6058	15051
861	6063	15038
862	6069	15028
863	6075	15019
864	6080	15007
865	6086	14998
866	6092	14987
867	6097	14977
868	6104	14968
869	6108	14956
870	6113	14943
871	6120	14937
872	6126	14926
873	6131	14914
874	6137	14904
875	6141	14892
876	6147	14880
877	6152	14868
878	6157	14856
879	6161	14844
880	6167	14833
881	6172	14822
882	6176	14809
883	6182	14798
884	6187	14787
885	6193	14776
886	6199	14769
887	6205	14759
888	6210	14747
889	6217	14739
890	6223	14731
891	6229	14720
892	6234	14710
893	6240	14699
894	6245	14688
895	6250	14678
896	6256	14668
897	6261	14657
898	6267	14646
899	6271	14634
900	6276	14621
901	6283	14615
902	6288	14603
903	6294	14594
904	6299	14583
905	6305	14572
906	6310	14562
907	6316	14552
908	6320	14540
909	6325	14527
910	6330	14516
911	6335	14505
912	6342	14499
913	6349	14491
914	6354	14480
915	6360	14469
916	6366	14462
917	6374	14456
918	6381	14451
919	6390	14447
920	6397	14442
921	6411	14450
922	6420	14446
923	6434	14455
924	6442	14452
925	6450	14446
926	6456	14439
927	6463	14432
928	6469	14421
929	6475	14412
930	6482	14405
931	6486	14393
932	6493	14386
933	6499	14375
934	6503	14364
935	6510	14357
936	6516	14346
937	6521	14336
938	6527	14327
939	6532	14316
940	6538	14306
941	6544	14297
942	6549	14286
943	6554	14274
944	6559	14264
945	6564	14252
946	6569	14241
947	6577	14236
948	6582	14226
949	6588	14216
950	6594	14207
951	6599	14198
952	6607	14192
953	6613	14183
954	6618	14173
955	6625	14166
