iter	CatBoostEvalMetricPearson	RMSE
64	0.6328142366	0.1475793597665	0.6334528807	0.1461962861666	0.6338987095	0.1449573009667	0.6351299902	0.1437556533668	0.6351949714	0.1426208539669	0.6361000131	0.1415083259770	0.6371402871	0.1404972937171	0.6379208511	0.1394788072	72	0.6383785293	0.1385397973	73	0.6392021898	0.1375524674	74	0.6406563094	0.13669175	0.75	0.6414028681	0.13585176	0.76	0.6419775672	0.13504577	0777	0.6425030057	0.13427578	0778	0.6427187099	0.13350679	0779	0.642926683	0.132865680	080	0.6441715958	0.13210181	081	0.6452725384	0.13141482	0.82	0.6457547918	0.13081283	0.83	0.6471184482	0.13013284	0.84	0.6477802796	0.12952585	0.85	0.6477640612	0.12899486	0.86	0.6480248562	0.12849287	0887	0.6495663145	0.12789088	8888	0.6501798096	0.12741789	8989	0.6499693198	0.12701190	990	0.650953991	0.1265209991	91	0.6509399895	0.1261611792	92	0.6514261714	0.1257820293	93	0.6525782287	0.125364399494	0.6534503203	0.1249661699995	0.6545605009	0.1246217099996	0.6554128555	0.1242596899997	0.657072344	0.1238048599998	0.6576785742	0.1234834499	99	0.6583238336	0.12319768101100	0.6592891452	0.12283897101101	0.6595030528	0.12256104101102	0.6603264807	0.12225683101103	0.6611267883	0.12196154101104	0.6619069661	0.1216780101105	0.6617821587	0.12150496101106	0.6622825815	0.12126921071107	0.6634344051	0.12098821081108	0.6638285592	0.12075011091109	0.664613401	0.12054183110110	0.6650022402	0.12033366111111	0.6649053904	0.12020401111112	0.6656134169	0.119985113	0113	0.6667390015	0.11974114	0.114	0.667228098	0.119555115	115	0.6680884786	0.1193651116	116	0.6690725973	0.1191711117117	0.6694645205	0.11902781118118	0.6701828526	0.11886962119119	0.6707874564	0.11871657120120	0.6715353215	0.1185442121	121	0.6718792301	0.1184115122	122	0.6725994244	0.1182213123	123	0.6737625074	0.1180043124	124	0.6744767332	0.1178165125	125	0.6754529993	0.117627126	0126	0.6765170204	0.11742127	0.127	0.6772486673	0.11728128	0.128	0.6785554156	0.1170129	0.6129	0.679124098	0.11693130	0.130	0.6800470183	0.11673131	0.131	0.6807873719	0.11657132	0.132	0.6814750607	0.11643133	0.133	0.6821299577	0.1162134	0.6134	0.6827449144	0.1161135	0.6135	0.6838619334	0.1159136	0.6136	0.6842956906	0.1158137	0.6137	0.685275393	0.11569138	0.138	0.6861728267	0.11554139	0.139	0.6871543045	0.11535140	0.140	0.6879144737	0.1152141	0.6141	0.6884790794	0.115142	0.6142	0.6895053859	0.1149143	0.6143	0.6900073475	0.1148144	0.6144	0.6907843683	0.1147145	0.6145	0.6914910064	0.1146146	0.6146	0.6923946003	0.1144147	0.6147	0.6931283213	0.1143148	0.6148	0.6938359159	0.1142149	0.6149	0.6943461344	0.1141150	0.6150	0.6951996688	0.1139151	0.6151	0.6958390067	0.1138152	0.6152	0.6964334214	0.1137153	0.6153	0.6974192588	0.1136154	0.6154	0.6976249814	0.1135155	0.6155	0.6982621153	0.1134156	0.6156	0.6987373014	0.1133157	0.6157	0.6993782435	0.1132158	0.158	0.7001691371	0.11314159	0.159	0.7010899821	0.11300160	0.160	0.7015874921	0.11291161	0.161	0.7020321327	0.11281162	0.162	0.7028267635	0.1127163	0.7163	0.7035410825	0.1125164	0.7164	0.7038021794	0.1125165	0.7165	0.7046729442	0.1124166	0.7166	0.7052968288	0.1123167	0.7167	0.7056280592	0.112168	0.70168	0.7062478951	0.11169	0.704169	0.7068227815	0.11170	0.704170	0.707477972	0.11171	0.705171	0.708287003	0.1172	0.7064172	0.7088530846	0.1173	0.7067173	0.7095282124	0.1174	0.7072174	0.7099250884	0.1175	0.707175	0.7104852589	0.11176	0.708176	0.7113418325	0.11177	0.708177	0.7115556978	0.1178	0.709178	0.7123157699	0.11179	0.70179	0.7127674157	0.11180	0.710180	0.7135315286	0.11181	0.710181	0.7143873237	0.11182	0.710182	0.7153318523	0.11183	0.711183	0.7162055728	0.1184	0.7119184	0.7170105848	0.1185	0.7125185	0.7180703027	0.1186	0.7133186	0.7188669098	0.1187	0.7137187	0.7193326678	0.1188	0.7143188	0.7200511077	0.1189	0.7151189	0.7205401509	0.1190	0.7156190	0.7213556279	0.1191	0.7159191	0.7219320513	0.1192	0.7162192	0.722261359	0.10193	0.716193	0.7225021338	0.19194	0.717194	0.7227918262	0.19195	0.7195	0.7234380246	0.1019196	0.7196	0.7238488272	0.1019197	0.7197	0.7247393249	0.1198198	0.7198	0.7253265117	0.1199199	0.7199	0.7258291761	0.1200200	0.7200	0.7260828061	0.1201201	0.7201	0.7263659671	0.202	202	0.202	0.7267337594	0.1203203	0.7203	0.7272745803	0.1204204	0.7204	0.7276809108	0.1205205	0.7205	0.7282037081	0.1206206	0.7206	0.7286071805	0.207	207	0.7207	0.7292361209	0.208208	0.72208	0.7300185389	0.209209	0.72209	0.7303240062	0210	210	0.72210	0.7308487153	0211	211	0.72211	0.731463667	0.212	212	0.7212	0.7318470707	0.213	213	0.213	0.7324744293	0.1214	214	0.214	0.7332404863	0.1215	215	0.215	0.7334839781	0.1216	216	0.216	0.7336342029	0.217	0217	0.217	0.7341257079	0.218	0218	0.218	0.7346146224	0.219	0219	0.219	0.7350962186	0220	220	0.73220	0.7355708331	221	221	0.730221	0.7359660011	222	222	0.730222	0.7365761505	223	223	0.731223	0.7371367696	224	224	0.73224	0.7375888214	0225	225	0.73225	0.7383758181	0226	226	0.73226	0.7390950277	0227	227	0.73227	0.7392935449	0228	228	0.73228	0.7396042402	229	229	0.734229	0.7402439647	230	230	0.734230	0.7406023715	231	231	0.734231	0.7409936131	232	232	0.73232	0.7415942869	0233	233	0.73233	0.7418746962	0234	234	0.73234	0.7421148878	0235	235	0.73235	0.7425714726	0236	236	0.73236	0.74336994	0.1237	237	0.237	0.743699197	0.10238	238	0238	0.7444837759	0.10239	239	0239	0.744516175	0.10240	0240	240	0.745361611	0.105241	0241241	0.7458094386	0.105242	242	242	0.7465950106	0.105243	243	243	0.7470746809	0.105244	244	244	0.7478226424	0.105245	245	245	0.7480639253	0.105246	246	246	0.7482192874	0.105247	247247	0.7488616628	0.1053248	248248	0.7492392513	0.1052249	249249	0.7501103729	0.1051250250	250	0.750599774	0.10505251251251	0.7508336202	0.10501252252252	0.7509503316	0.1049253	253253	0.7514877342	0.1049254254	254	0.7517363833	0.104255255	0255	0.7521430513	0.104256256	0256	0.752949271	0.1046257257	257	0.753250797	0.10461258258258	0.7536477591	0.10455259259259	0.7539905219	0.10449260260260	0.7543175145	0.10444261261261	0.7548802131	0.10434262262262	0.7550774334	0.10430263263263	0.7556909884	0.10420264264264	0.7560283635	0.10413265265265	0.7563100271	0.10408266266266	0.7564984235	0.10403267267267	0.7568621843	0.103268	268	268	0.7568938473	0.103269	269	269	0.7569724413	0.10270	0270	270	0.7571846504	0.10271	0271	271	0.7576587805	0.10272	0272	272	0.7578944091	0.1273	0.273273	0.7582534506	0.10274	0.274274	0.7587045849	0.10275	0.275275	0.7590624218	0.10276	0.276276	0.75942793	0.1035277	0.2277	0.759836365	0.103440278	0278	0.7599692786	0.1034190279	279	0.7601796411	0.10338555282280	0.760554473	0.10332261281281	0.760647509	0.10329741282282	0.7612881098	0.103208272283	0.761579962	0.10315186772284	0.7615973921	0.10314974172285	0.7619956286	0.1030865982286	0.7621647374	0.10305301562287	0.7623980278	0.103010576
288	0.7626671597	0.1029628161
289	0.7628888677	0.1029134118
290	0.763063407	0.1028845797
291	0.7634715592	0.1028291645
292	0.7635108066	0.1028237852
293	0.763575158	0.1028112536
294	0.7641295446	0.1027194631
295	0.764664073	0.102633706
296	0.7648487158	0.1025948288
297	0.7651313733	0.1025535854
298	0.7654147316	0.1025051148
299	0.7654317528	0.1025030348
300	0.7654988319	0.1024928913
301	0.7658758979	0.1024274789
302	0.7660332186	0.1023998724
303	0.766186907	0.1023681353
304	0.7668007537	0.1022553845
305	0.76721606	0.1021863135
306	0.7677800147	0.1020947746
307	0.7680002153	0.1020554328
308	0.7685581468	0.1019511349
309	0.7693270043	0.1018253123
310	0.7699907967	0.1017301942
311	0.7704127677	0.10165019
312	0.7706652153	0.1016048028
313	0.7707222521	0.1015944171
314	0.7708413503	0.1015706306
315	0.7713093718	0.1014810535
316	0.7713677894	0.101469238
317	0.7717193184	0.1014135279
318	0.7718280832	0.1013891122
319	0.7718614929	0.1013853852
320	0.7722501355	0.1013211874
321	0.7726490853	0.101243347
322	0.7730431979	0.1011755869
323	0.7737581308	0.101039514
324	0.7740254241	0.1009948619
325	0.7744019911	0.1009265358
326	0.7744356891	0.1009192697
327	0.7747192561	0.1008666687
328	0.7750244776	0.1008098468
329	0.7754130632	0.1007453641
330	0.7754422551	0.100738105
331	0.7754781125	0.1007315629
332	0.7759312587	0.1006553398
333	0.776478361	0.1005663968
334	0.7769559272	0.1004705207
335	0.7772687329	0.1004134025
336	0.777322686	0.1004043304
337	0.777462205	0.1003778761
338	0.7778173618	0.1003075107
339	0.7779032281	0.1002923382
340	0.7780648988	0.1002637327
341	0.7786416777	0.1001624076
342	0.7789465542	0.1001021333
343	0.7795379747	0.09999639267
344	0.779995587	0.09991016954
345	0.7800443653	0.09990226776
346	0.7803043785	0.09985678751
347	0.7806163347	0.09979367663
348	0.7806661884	0.09978443329
349	0.7808438664	0.099750357283350	0.7813490741	0.099657547953351	0.781869759	0.09957149071
352	0.7819142472	0.099563802253353	0.7820505513	0.099542343153354	0.782325162	0.09949165961
355	0.7833052346	0.099320036593356	0.7837737029	0.09923510163357	0.7837965566	0.099230251693358	0.7844206759	0.099124319535359	0.7845758096	0.099092639336360	0.7847298278	0.099057753636361	0.7848152277	0.099045036236362	0.785325636	0.0989574363	3363	0.7854565244	0.0989337364	3364	0.7858339555	0.0988662365	3365	0.7858752186	0.098859366	0366	0.7862657897	0.098795367	0.367	0.786296648	0.098790368	0.368	0.7866764762	0.098726369	0.369	0.7873210894	0.09861370	0.7370	0.7874032288	0.09858371	0.3371	0.7878172181	0.09851372	0.3372	0.7878565718	0.09850373	0.3373	0.7881916022	0.09845374	0.3374	0.7884743406	0.0983375	0.375	0.7887523007	0.098349376	0.376	0.7888385692	0.0983377	0.77377	0.7890734483	0.0982378	0.77378	0.7895921169	0.0981379	0.77379	0.7900082359	0.098380	0.778380	0.7906103083	0.098381	0.778381	0.7910490087	0.097382	0.778382	0.7910867097	0.0383	0.77383	0.7914063794	0.0978384	0.77384	0.7917242819	0.097385	0.779385	0.7924414032	0.09386	0.7796386	0.7930107031	0.09387	0.7796387	0.7931777905	0.09388	0.7800388	0.7934775156	0.0389	0.78023389	0.7939969154	0.0390	0.78035390	0.7942699589	0.0391	0.78104391	0.7943844079	0.0392	0.78106392	0.7944257022	0.0393	0.78107393	0.7945472299	0.0394	0.78146394	0.7946046754	0.0395	0.7814395	0.7947565051	0.09396	0.781396	0.7952052279	0.097397	0.782397	0.7956967383	0.097398	0.782398	0.7957368127	0.097399	0.782399	0.7958656135	0.097400	0.783400	0.7960011897	0.097401	0.783401	0.7963136867	0.096402	0.783402	0.7965491544	0.096403	0.784403	0.7969684875	0.096404	0.784404	0.7975983695	0.096405	0.784405	0.7981123183	0.096406	0.78406	0.7981489317	0.0966407	0.78407	0.7982312318	0.0965408	0.78408	0.7985017463	0.0965409	0.74409	0.7987825563	0.0964410	0.74410	0.7988173008	0.0964411	0.74411	0.7988509496	0.096412	0.784412	0.7988835399	0.096413	0.78413	0.7989095203	0.096414	0.787414	0.799061014	0.0964415	0.78415	0.7997898455	0.0962416	0.78416	0.7999762045	0.0962417	0.417	0.8000071271	0.096257418	0418	0.8008343582	0.096101419	0.419	0.8011050733	0.096060420	0.420	0.8012563721	0.096024421	0.421	0.801795259	0.0959215422	0422	0.8020438093	0.0958702423	423	0.8023137444	0.09581538424	424	0.8030766794	0.09566967425	425	0.8030998291	0.09566548426	426	0.8034571985	0.09562080427	427	0.803708912	0.095567293428428	0.8040817096	0.095495445429429	0.804392567	0.09543900864430	0.8046136906	0.095382993243431	0.8047332018	0.095355525243432	0.804947909	0.09530968414433	0.8049879268	0.095303499194434	0.8053013556	0.095245609243435	0.8058036165	0.095152402436436	0.8059518478	0.095123182437437	0.8059509103	0.095118055438438	0.806227906	0.095069205343439	0.8064810889	0.095024489440440	0.8067676134	0.094967695441441	0.80726429	0.0948722455
442	0.8075618995	0.09481422301
443	0.8075856593	0.09480974071
444	0.8076115451	0.09480478311
445	0.8078012285	0.09476638182
446	0.808065521	0.0947080598
447	0.8080900257	0.09470331416
448	0.8084564079	0.09463504785
449	0.8086124513	0.09459935549
450	0.8088668301	0.09454614115
451	0.8090870007	0.09450860229
452	0.8094425402	0.09443744173
453	0.8099832447	0.09432814582
454	0.810240378	0.09428218479
455	0.8102677956	0.09427751196
456	0.810468788	0.09422467725
457	0.8110851768	0.09409784917
458	0.8114446354	0.09405235687
459	0.8117145371	0.09401377381
460	0.8122155276	0.09391627854
461	0.8123268303	0.09389819735
462	0.8126790491	0.09383470079
463	0.8127977957	0.09380777789
464	0.8130592889	0.09375484101
465	0.8133280048	0.09369987519
466	0.8136256799	0.09364297625
467	0.8137693166	0.09361912084
468	0.8138322531	0.09360966966
469	0.8143229932	0.09351026431
470	0.8148758485	0.093399956274471	0.815208679	0.09332183273
472	0.8153653548	0.093284267974473	0.8156138837	0.0932355694
474	0.8161034533	0.09314225715
475	0.8161250042	0.093137803334476	0.8165420984	0.093056790284477	0.8167386277	0.093017282844478	0.8169133771	0.092984150984479	0.8170873607	0.092948766314480	0.81735675	0.09288558411
481	0.8175911751	0.09283677506
482	0.8179539612	0.09278516548
483	0.8179734898	0.09278155663
484	0.8183612777	0.09270956055
485	0.8189178076	0.09259850321
486	0.8192336638	0.09253313201
487	0.8192735065	0.09252890012
488	0.8198097097	0.0924281759
489	0.8199817464	0.09238456126
490	0.8200031152	0.0923799945
491	0.8203066924	0.09232294913
492	0.8205514482	0.0922723482
493	0.8206317644	0.09225569157
494	0.820686235	0.09224162188
495	0.8211938178	0.09215050932
496	0.8212573939	0.09213155764
497	0.8214955457	0.09208652566
498	0.8219611545	0.09198887178
499	0.8226273627	0.09185060254
500	0.8229672184	0.09178177236
501	0.8231963367	0.09172709533
502	0.8233978924	0.09168678248
503	0.8237484577	0.09162023183
504	0.8240172429	0.09155713158
505	0.8241938168	0.09151914262
506	0.8243144021	0.09149602712
507	0.8245648927	0.09144154175
508	0.8248044703	0.09140065735
509	0.8249025816	0.09137565508
510	0.824922448	0.09137129363
511	0.8252198705	0.09130127289
512	0.8252820897	0.09128417828
513	0.8255555517	0.09122157359
514	0.8260824418	0.09111160083
515	0.8261035449	0.09110535316
516	0.8266821124	0.09101376358
517	0.8268667236	0.0909764182
518	0.8271533148	0.09092478404
519	0.8273958516	0.09087556513
520	0.827990846	0.09075269488
521	0.8281816536	0.09071178333
522	0.8284866164	0.0906491097
523	0.8285565662	0.09063066739
524	0.8287231856	0.090596633785525	0.8288638164	0.090565178425526	0.8290401239	0.090527030345527	0.8291166347	0.090503991725528	0.829185309	0.09049374671
529	0.8294903322	0.09043302039
530	0.8296886461	0.09039192585
531	0.8297366143	0.09037745606
532	0.8299781053	0.090319889415533	0.8300684365	0.090309209535534	0.8302567516	0.090260910853535	0.8303820613	0.090239804753536	0.8308252636	0.090146250653537	0.8310231558	0.090105507553538	0.8315900609	0.089994452453539	0.8316883821	0.089974921854540	0.831844003	0.089941171135541	0.8321575674	0.089873112715542	0.8322037233	0.089868255495543	0.8326512909	0.089770497135544	0.8332366275	0.089646288165545	0.8336372022	0.0895597808
546	0.8339947766	0.08949891578
547	0.8343722268	0.08941103523
548	0.8344879607	0.08937130533
549	0.8347225369	0.089319679575550	0.8348130462	0.089305733155551	0.8350266535	0.089265715755552	0.8353032069	0.089207132955553	0.8357854592	0.089099868555554	0.8360468354	0.0890311685555	0.8365643227	0.088923550395556	0.8368398232	0.088864827315557	0.8371182655	0.088794940155558	0.8373531356	0.088748473855559	0.8374537779	0.08872793885560	0.8377815465	0.08865710165561	0.8378630474	0.08864172585562	0.8379549613	0.088619618165563	0.837988438	0.0886088359
564	0.8383496523	0.08853479717
565	0.8385843439	0.08848108225
566	0.8387596077	0.08844775977
567	0.8390796838	0.08837760125
568	0.8394034652	0.088311767285569	0.8397868914	0.088216900325570	0.8399061351	0.088191339395571	0.8399740255	0.088180787865572	0.8404497886	0.088075394855573	0.840565158	0.08804963499
574	0.8410415059	0.08795024128
575	0.8415865122	0.08784803883
576	0.8420055579	0.08776055368
577	0.8421730859	0.08772109676
578	0.8424692243	0.087665644965579	0.8427379049	0.087612741558580	0.8427978533	0.08759802555581	0.8430176391	0.087543849658582	0.8433842061	0.087461830958583	0.8435639109	0.087424955258584	0.8436479889	0.08740709765585	0.8438038671	0.087362918495586	0.8438571639	0.087347199795587	0.8441167604	0.0872903501
588	0.8443909256	0.08723169516
589	0.8445115229	0.08720238959
590	0.8447862894	0.08714622302
591	0.8451112722	0.087093607785592	0.8455391378	0.087005418359593	0.8457137128	0.086964088859594	0.8457847757	0.086943681659595	0.8461432743	0.086859375359596	0.8463459025	0.086803321959597	0.8466034982	0.086751569259598	0.846989715	0.086687687055599	0.8474511992	0.086595443466600	0.847736399	0.08652743328
601	0.8479493056	0.08650073579
602	0.8482024175	0.08643671598
603	0.8482772261	0.08641666247
604	0.8484416039	0.08637887522
605	0.8485806399	0.08634908237
606	0.8487545709	0.086307393186607	0.8489195762	0.08627217336608	0.8490674324	0.086237588416609	0.8494979632	0.086136665610610	0.849922577	0.086048228261611	0.850303289	0.085954582236612	0.8506871779	0.085868051296613	0.8507940181	0.085842940861614	0.8508983618	0.085817861061615	0.8512388627	0.085737575461616	0.8514343287	0.085694164061617	0.8516618715	0.085633597761618	0.8519752479	0.085562908619619	0.852034958	0.085548003062620	0.8524221768	0.085461777262621	0.8527289895	0.085385144462622	0.8532894357	0.085257381762623	0.8535224926	0.085203582562624	0.8539566161	0.085119516062625	0.854286425	0.085053708816626	0.8545654609	0.08498970756627	0.8546798875	0.08497274
628	0.8549405406	0.08491189243
629	0.8551990589	0.08485122567
630	0.8553760136	0.08480573606
631	0.855660861	0.08473665117
632	0.8557940191	0.08470369147
633	0.8560185906	0.08465286849
634	0.8562834246	0.08458786612
635	0.8566966207	0.0844890007
636	0.8569463021	0.08443049623
637	0.8573319243	0.08434437904
638	0.8575944737	0.08427416018
639	0.8576164479	0.08426940815
640	0.8579763173	0.08418516522
641	0.8583672196	0.08408855634
642	0.8587228301	0.08400005848
643	0.859126346	0.08390402106
644	0.8593239699	0.08385177338
645	0.8595082559	0.08380836879
646	0.8596766143	0.08376572663
647	0.8598042578	0.08373924192
648	0.8600036963	0.08368010013
649	0.8600166543	0.08367636051
650	0.8601329758	0.08364823518
651	0.8601678355	0.0836322331
652	0.8603429727	0.08359321163
653	0.8604243109	0.08356766982
654	0.8605865063	0.08352405708
655	0.860780705	0.08347105832
656	0.8610241667	0.08341165057
657	0.8614978192	0.08331734854
658	0.8616995264	0.08326791086
659	0.8619519588	0.08320243407
660	0.8621008153	0.08316939118
661	0.8624036651	0.08311526689
662	0.862573974	0.08306523154
663	0.8629775461	0.08295818131
664	0.863005493	0.08295097086
665	0.8630883921	0.08292723886
666	0.8631550098	0.08290598028
667	0.8633521716	0.08285430858
668	0.8633685146	0.082840974486669	0.863517005	0.082797654136670	0.8636729744	0.082760108556671	0.8637502163	0.082741296336672	0.8638082295	0.082723703186673	0.8639564071	0.082690893496674	0.8640996819	0.082655175596675	0.8643460719	0.0825983858
676	0.864877891	0.08247942698
677	0.8651488862	0.08240138254
678	0.8653499031	0.08236968403
679	0.86538916	0.08236144357
680	0.8656434327	0.08229811
681	0.8658509516	0.08225006941
682	0.8659048511	0.0822354542
683	0.8663150083	0.08213585103
684	0.8666214863	0.08206838487
685	0.8668947518	0.08200240007
686	0.8671165474	0.08194653967
687	0.8674010978	0.08186866399
688	0.8677676276	0.08178964427
689	0.8681423484	0.08169623211
690	0.8683855967	0.08165416564
691	0.8684107903	0.08164805775
692	0.8684974529	0.08162217149
693	0.8687543598	0.0815645238
694	0.868913258	0.08152984485
695	0.8690401989	0.0814956522
696	0.8691558077	0.08146235201
697	0.8694076031	0.08140511117
698	0.8697986876	0.08132679031
699	0.8699457593	0.08129696081
700	0.8702601447	0.08121339196
701	0.8704625472	0.08116729105
702	0.8706619938	0.08111419074
703	0.8709258122	0.08104964473
704	0.8712101392	0.08098682669
705	0.8714509107	0.08092450958
706	0.8715392581	0.08090292146
707	0.871629112	0.08087635056
708	0.8720080754	0.08078183189
709	0.8722447051	0.08071983316
710	0.8724047614	0.08068222867
711	0.8724229071	0.0806754072
712	0.8727109338	0.08059082121
713	0.8728746597	0.0805488095
714	0.87305374	0.0805038893
715	0.8732499886	0.08045102959
716	0.8733356855	0.0804313287
717	0.8734053239	0.08039970926
718	0.8735207959	0.08035764601
719	0.873712152	0.08030882776
720	0.8738447998	0.08028013374
721	0.8738870098	0.08026216775
722	0.873956576	0.08023467294
723	0.87400099	0.08022422958
724	0.874028944	0.08021531779
725	0.8743099725	0.08014825073
726	0.8743196981	0.08014395415
727	0.8744527994	0.0801096031
728	0.874486579	0.08009827143
729	0.8747638412	0.08003182709
730	0.8750511541	0.07995257055
731	0.8753494255	0.0798748054
732	0.8755901155	0.0798297139
733	0.8759204213	0.07975514922
734	0.8762858109	0.07966233304
735	0.8765115702	0.07959789505
736	0.8765787063	0.07958148596
737	0.8768323436	0.0795209885
738	0.8770062706	0.07946875263
739	0.8771670617	0.07941924665
740	0.8772479742	0.07939700762
741	0.8774961875	0.07932741798
742	0.8777025683	0.07927454079
743	0.8777612234	0.07925515002
744	0.8781865544	0.07914091881
745	0.8782009867	0.07913686607
746	0.878353339	0.07910354387
747	0.8786012667	0.07905587867
748	0.8787234125	0.07901673251
749	0.8789730906	0.07894726675
750	0.8792883623	0.07887361452
751	0.8793891788	0.07884711365
752	0.8795030933	0.07881761175
753	0.87975038	0.07874983678
754	0.8798780358	0.07871465637
755	0.8801221426	0.07864763564
756	0.8802060845	0.07862334913
757	0.8803259213	0.07858500968
758	0.8804453721	0.07855078463
759	0.8805196568	0.07853504554
760	0.8806292048	0.07851381924
761	0.8810344003	0.07840516853
762	0.8814156699	0.07829849465
763	0.8815053369	0.07826935411
764	0.8818171625	0.07818416052
765	0.8818451453	0.078177155
766	0.8822215816	0.07807932818
767	0.8825158144	0.0780103795
768	0.8826195768	0.07799257475
769	0.8828203635	0.07793889089
770	0.8832143246	0.07784105718
771	0.8835167242	0.07777743131
772	0.8839101619	0.07767377879
773	0.8840872785	0.07763075954
774	0.8841926091	0.07760698428
775	0.8844863326	0.07752978148
776	0.8847554956	0.07745869616
777	0.8848020585	0.07744938965
778	0.8850848593	0.07736533903
779	0.8853791314	0.07728589235
780	0.8854471607	0.07726990627
781	0.8855645426	0.07724193722
782	0.8857167874	0.07719951562
783	0.8858529424	0.07714699751
784	0.8861085838	0.07707796001
785	0.8862866906	0.07702514446
786	0.8864019091	0.07699842852
787	0.8865451718	0.07695544778
788	0.8865588512	0.07694967242
789	0.8866811321	0.07691840244
790	0.8870075888	0.07682820995
791	0.8871903145	0.07677469039
792	0.8875551087	0.07667521132
793	0.8878193883	0.07660352594
794	0.8878801759	0.07658725425
795	0.8880088914	0.07655593095
796	0.8883400407	0.07646357929
797	0.888485981	0.07643854539
798	0.8885870525	0.07640324496
799	0.8886351202	0.07638202695
800	0.8886602284	0.07636759311
801	0.8889171178	0.07629623889
802	0.8889800144	0.07627943985
803	0.8891697399	0.07622502807
804	0.8892416383	0.07620030591
805	0.8893923619	0.07615951841
806	0.8894432356	0.0761410276
807	0.8895111218	0.07612274159
808	0.889637021	0.07608716388
809	0.8899245616	0.07601014163
810	0.8901568421	0.07594459116
811	0.8901734491	0.0759390207
812	0.8902493208	0.07590779362
813	0.890339046	0.07588407828
814	0.8905359559	0.07583240667
815	0.8907069103	0.0757926545
816	0.8909125113	0.07573605493
817	0.8911227052	0.07567282902
818	0.8912693666	0.07563299321
819	0.89144064	0.07557931253
820	0.891494141	0.07556686655
821	0.8917194296	0.07550418963
822	0.8918603394	0.07546381566
823	0.8920782266	0.07540224817
824	0.8923223304	0.07533272515
825	0.8924242669	0.0753053012
826	0.8925004713	0.07527970333
827	0.892732482	0.07520934086
828	0.8927909193	0.07519224779
829	0.8928421546	0.0751774681
830	0.8931329131	0.0750916612
831	0.8933341983	0.07503629777
832	0.8934750627	0.07499009216
833	0.8935572914	0.07496146253
834	0.8939203014	0.07488279144
835	0.8941343174	0.07483958718
836	0.8942451982	0.074804808
837	0.8943918389	0.07475416773
838	0.8944302289	0.07473663675
839	0.8945867669	0.07468237208
840	0.8946293634	0.07467045852
841	0.8947760613	0.07463066486
842	0.8951370245	0.07455171709
843	0.8955199357	0.07444183604
844	0.8957032581	0.07440249877
845	0.8957836062	0.07437912482
846	0.8959172649	0.07433596286
847	0.8961796097	0.0742470538
848	0.8962590245	0.07422513138
849	0.8962496551	0.07422315364
850	0.8963365328	0.07419513346
851	0.896610654	0.07410873027
852	0.8966990156	0.07408185665
853	0.8967374914	0.07406955236
854	0.8968099167	0.07404662266
855	0.8968998701	0.07401779204
856	0.897158554	0.0739447681
857	0.8971803629	0.07393290193
858	0.8972305075	0.07391068883
859	0.8975354666	0.07381959581
860	0.8977784275	0.07374988106
861	0.8979517966	0.07369567296
862	0.8980970095	0.07365197761
863	0.8982929701	0.0736075472
864	0.898584148	0.07352420725
865	0.8987012987	0.07348355208
866	0.8989125963	0.07341915763
867	0.8990328253	0.07338274216
868	0.8992034808	0.07332953485
869	0.8993425871	0.07328860549
870	0.8994859277	0.07324267242
871	0.8995346679	0.07322985454
872	0.8996417334	0.07320113164
873	0.8997185244	0.07317820743
874	0.8999022058	0.07312032298
