iter	CatBoostEvalMetricPearson	RMSE
108	0.7262246414	0.1382669276
109	0.7272068122	0.1380242155
110	0.7274634755	0.1379078956
111	0.7282118433	0.1377074669
112	0.7283249322	0.1376074628
113	0.7286312324	0.1374631249
114	0.729470835	0.1373159009
115	0.7299123126	0.1371309289
116	0.7307388601	0.1369593664
117	0.7313596169	0.1368366687
118	0.7318609837	0.1367089029
119	0.7325711702	0.1365429967
120	0.7330605809	0.1363812992
121	0.7338892633	0.1361757734
122	0.73466132	0.1359768457
123	0.7355970478	0.1357325693
124	0.7362109508	0.1356092454
125	0.7365110879	0.1355316948
126	0.7375969613	0.1353401357
127	0.7386340458	0.135158276
128	0.7394056264	0.134955062
129	0.7403544208	0.1347802941
130	0.741012871	0.1346546267
131	0.7416651395	0.1345043141
132	0.7420587035	0.1343772264
133	0.7428270538	0.13421282
134	0.7438526761	0.1339786848
135	0.7440344341	0.1338987926
136	0.7445356312	0.1337626842
137	0.7454848932	0.1335715578
138	0.7461388708	0.1333902186
139	0.7465797734	0.1333027644
140	0.7471780241	0.1331281239
141	0.7481620237	0.1329534935
142	0.7488718964	0.1328307964
143	0.7496507817	0.1326615861
144	0.7497424187	0.1325917487
145	0.750235344	0.1324680404
146	0.7505313653	0.1323789207
147	0.7512951259	0.1322045627
148	0.7518948104	0.1320284373
149	0.7522066272	0.1319248854
150	0.7530074587	0.1317616664
151	0.7538272487	0.1315862117
152	0.75433866	0.131475611
153	0.7547356185	0.1313390721
154	0.7551050934	0.1312355075
155	0.7556955615	0.1310838071
156	0.7558258002	0.1309953676
157	0.756563129	0.1308754727
158	0.7570465738	0.1307923207
159	0.7578606163	0.1306230505
160	0.7582286322	0.1305101112
161	0.7581112631	0.1304598584
162	0.7589176213	0.1302896701
163	0.7591775854	0.1302431048
164	0.7597086215	0.1301207128
165	0.7605441366	0.1299358014
166	0.7611462125	0.1298014949
167	0.761647384	0.1296919864
168	0.7620265592	0.1295958321
169	0.7626608388	0.1294237426
170	0.7630305696	0.1293438876
171	0.7630998368	0.1293291696
172	0.7635914887	0.129224101
173	0.7638252622	0.1291472437
174	0.7645346547	0.1290050424
175	0.7653150393	0.1288689493
176	0.7656353799	0.1287486565
177	0.7658752629	0.1286743844
178	0.7663730307	0.1285455149
179	0.7666020192	0.1284898044
180	0.767081745	0.1283847857
181	0.7673900748	0.1282732507
182	0.7678022599	0.128201044
183	0.7682002191	0.1280840724
184	0.7684338475	0.1280231458
185	0.7687953464	0.1278859146
186	0.7691718554	0.1277918423
187	0.7701112982	0.1276264896
188	0.770550844	0.1275173268
189	0.7708880373	0.1274254378
190	0.7710291333	0.1273406485
191	0.7715175254	0.127245165
192	0.7720736346	0.1270847652
193	0.7724423669	0.1269986226
194	0.7734253473	0.1268061129
195	0.7742542503	0.1266368024
196	0.7748532706	0.1265341525
197	0.7754823757	0.126365091
198	0.7757106578	0.1262890398
199	0.7760078671	0.1261931626
200	0.7764940586	0.1260874124
201	0.7767972019	0.1260215076
202	0.7769579467	0.1259717576
203	0.7774569261	0.1258804726
204	0.7776725953	0.1258426451
205	0.778335494	0.1257005639
206	0.7787628633	0.1256149162
207	0.779152953	0.1254779284
208	0.7796479632	0.1253523808
209	0.7799757345	0.1252882961
210	0.7801413225	0.1252553523
211	0.7805946741	0.1251365412
212	0.7806988179	0.1250943586
213	0.7809562378	0.125018861
214	0.7815266937	0.1248928915
215	0.7817524777	0.1248432778
216	0.7822337788	0.1247192147
217	0.782828477	0.1245987445
218	0.7830975727	0.1245413506
219	0.7832762078	0.1244901975
220	0.7833342266	0.1244342548
221	0.7833336121	0.1244339058
222	0.7840303633	0.1242873547
223	0.7842486659	0.1242318463
224	0.7846561214	0.1241393554
225	0.78475457	0.1240705838
226	0.7851003752	0.1239939692
227	0.7856004355	0.1238891283
228	0.7861554017	0.1237761589
229	0.7866066074	0.1236505544
230	0.7869489007	0.1235792164
231	0.7871376049	0.1235001165
232	0.7874225368	0.1234459288
233	0.7881679143	0.1232875025
234	0.7882820184	0.1232607503
235	0.7884763585	0.1232021004
236	0.7890360297	0.1230299683
237	0.7895392336	0.1229209679
238	0.789825363	0.1228463438
239	0.789982165	0.1227927564
240	0.7902383649	0.122740877
241	0.7909212677	0.1225968189
242	0.7912358258	0.1225313269
243	0.791335096	0.1225043891
244	0.7915256291	0.1224678666
245	0.7915771963	0.122440375
246	0.7918416381	0.1223731112
247	0.7923093786	0.122266749
248	0.7934531196	0.1220261787
249	0.793868853	0.1219444968
250	0.7945709328	0.1217638016
251	0.7947298786	0.1216987016
252	0.7950949022	0.1216167587
253	0.7953967398	0.121556398
254	0.7960121093	0.1213984003
255	0.7965655147	0.1212640331
256	0.7970534022	0.1211546512
257	0.7975087021	0.1210575851
258	0.7977827506	0.1209873243
259	0.7984591679	0.1208427254
260	0.7990644636	0.1206854729
261	0.7996566427	0.120539344
262	0.8002249962	0.1204006647
263	0.8005063508	0.1203306396
264	0.8010905692	0.120209867
265	0.8014926381	0.1201163361
266	0.8017792732	0.1200465652
267	0.8019029156	0.1199998845
268	0.8022057873	0.1199203865
269	0.8024513656	0.1198609769
270	0.8027225716	0.1197882258
271	0.8028707467	0.1197387163
272	0.8035018029	0.1195924195
273	0.8040373409	0.1194498279
274	0.8043352857	0.1193891592
275	0.8046605356	0.1193005621
276	0.8050968052	0.1191942402
277	0.8054539116	0.1191123457
278	0.8056061012	0.1190804961
279	0.8060576381	0.1189832493
280	0.8063595189	0.1189052065
281	0.8068117878	0.1187755122
282	0.8071044011	0.1187010491
283	0.8075134388	0.1186025034
284	0.8081416604	0.1184531469
285	0.8085242027	0.1183408654
286	0.8088291556	0.1182560094
287	0.8091271262	0.1181735709
288	0.8097530662	0.1180206606
289	0.8103072853	0.1178996255
290	0.8106668538	0.1178180856
291	0.8110974071	0.1176933597
292	0.8113689633	0.1176221069
293	0.8118408391	0.1175174763
294	0.8120616741	0.1174563064
295	0.8123178033	0.1173979531
296	0.81270068	0.1173145131
297	0.8133085034	0.1171727162
298	0.8133446766	0.1171309318
299	0.8140802665	0.1169485358
300	0.8144308733	0.1168438774
301	0.8147096904	0.1167661267
302	0.8148366033	0.116716849
303	0.8151959073	0.1166268186
304	0.8157479358	0.1164993228
305	0.8160420083	0.116395408
306	0.8162386439	0.1163489372
307	0.8163810679	0.1162969351
308	0.8166819453	0.1162155835
309	0.8170171599	0.1161392114
310	0.8171739136	0.1161042826
311	0.8175278023	0.1160219003
312	0.8180191332	0.1159040433
313	0.8182262671	0.1158272328
314	0.818865363	0.115673783
315	0.8190211086	0.1156231266
316	0.819579111	0.1154908885
317	0.8197642244	0.1154531481
318	0.8198720334	0.1154211343
319	0.8202015435	0.1153323972
320	0.8208451771	0.115181179
321	0.8209346866	0.1151328609
322	0.8213493739	0.1150186902
323	0.8215524105	0.1149713655
324	0.8220319456	0.1148183508
325	0.8223326382	0.1147371157
326	0.82291853	0.1145981399
327	0.8231217277	0.1145307406
328	0.8234162816	0.1144489334
329	0.8239192581	0.1143097163
330	0.8245154277	0.1141740465
331	0.8246019555	0.1141488934
332	0.8246251507	0.1141422496
333	0.8251133655	0.1140141079
334	0.8255349295	0.1138938097
335	0.826065464	0.1137629643
336	0.8262505694	0.1136885084
337	0.8266676677	0.1135837664
338	0.826797058	0.1135490127
339	0.8272358403	0.1134293448
340	0.8273714946	0.1133852042
341	0.8275640638	0.1133383375
342	0.8277105902	0.1132833125
343	0.8279342394	0.1131993425
344	0.8279892596	0.1131835507
345	0.8282923233	0.1131010761
346	0.8288016897	0.1129824639
347	0.8292511764	0.1128521221
348	0.8297869223	0.1126972316
349	0.830516009	0.1125178961
350	0.8309722927	0.1123946565
351	0.8311413433	0.1123531661
352	0.8314096986	0.1122712685
353	0.8320136968	0.1121039419
354	0.8323817832	0.1119939426
355	0.8326851847	0.1118973393
356	0.8329768707	0.1118257971
357	0.8333862131	0.1117009236
358	0.8335575788	0.1116601876
359	0.8336831713	0.1116178413
360	0.8341156755	0.1114990348
361	0.834527481	0.1113948955
362	0.8346076242	0.1113606771
363	0.8348845581	0.1112646985
364	0.8350362274	0.1112258274
365	0.8351159909	0.1111835741
366	0.8352712394	0.1111454044
367	0.8353489142	0.1111144514
368	0.8357198812	0.1110275169
369	0.8361986491	0.110907969
370	0.8364344732	0.1108565134
371	0.8367166646	0.1107627046
372	0.8370319674	0.1106884151
373	0.8372002177	0.1106376094
374	0.8375180691	0.1105479963
375	0.8381170197	0.1103910287
376	0.8385392185	0.1102660823
377	0.8387709647	0.1101946559
378	0.8391497231	0.1101001949
379	0.839477272	0.1100010797
380	0.8396692519	0.1099490812
381	0.8400982358	0.1098074872
382	0.8403015874	0.1097531905
383	0.8405020909	0.1096792377
384	0.8405543945	0.1096611073
385	0.8407262557	0.1096131442
386	0.8411141095	0.1094990226
387	0.8414151022	0.1094235151
388	0.8416391474	0.1093375098
389	0.8418881993	0.1092635942
390	0.8421763628	0.1091725035
391	0.8423261322	0.109125803
392	0.8424319787	0.1090975216
393	0.8428067565	0.1089887263
394	0.843093629	0.108917829
395	0.8432026776	0.108889498
396	0.8435364068	0.1087929967
397	0.8438023791	0.1087172826
398	0.844113234	0.1086235682
399	0.844758753	0.108447694
400	0.8449939856	0.108381146
401	0.8452424337	0.1082988425
402	0.8454740907	0.1082442975
403	0.845902147	0.1081295677
404	0.8461351863	0.1080576331
405	0.8464968536	0.1079421754
406	0.8466059604	0.1079083929
407	0.846967588	0.1078115845
408	0.8470541039	0.1077672817
409	0.8472367328	0.1077164645
410	0.8475041939	0.107637652
411	0.8475169815	0.1076273703
412	0.8476623192	0.1075674293
413	0.8478117433	0.1075185466
414	0.8482603651	0.1073956791
415	0.8487338219	0.1072518072
416	0.8488279687	0.1072213606
417	0.849355737	0.107081082
418	0.8496338386	0.1070040349
419	0.8499280351	0.1069186256
420	0.8504304744	0.1067717826
421	0.8505569575	0.1067350649
422	0.8505730632	0.1067279569
423	0.8509312448	0.1066293881
424	0.8515446398	0.1064311666
425	0.8520354118	0.1062937471
426	0.8522958207	0.1062259142
427	0.8525472981	0.1061406971
428	0.8526094943	0.1061239377
429	0.8533887867	0.10590974
430	0.8538846842	0.1057678855
431	0.8541989305	0.1056682202
432	0.8545944615	0.1055478175
433	0.8548418542	0.1054774611
434	0.8552623582	0.1053598512
435	0.8555410015	0.1052552075
436	0.8556178568	0.1052243629
437	0.8556825346	0.1051999074
438	0.8557680053	0.1051600957
439	0.8560722202	0.1050648315
440	0.856223962	0.1050214661
441	0.8565511433	0.1049338228
442	0.8569568385	0.1048092835
443	0.8569603223	0.104792668
444	0.8572484281	0.1047168415
445	0.8572968278	0.1046979522
446	0.8575153236	0.1046273821
447	0.8575419937	0.1046115472
448	0.8576419565	0.1045834651
449	0.8578642102	0.1045197521
450	0.8579048241	0.1045045324
451	0.857920926	0.1044721886
452	0.8584159955	0.1043443709
453	0.8585141793	0.1043177329
454	0.8585718956	0.1042980489
455	0.8589550775	0.1041844787
456	0.8589857313	0.1041683907
457	0.8593502849	0.1040589558
458	0.8595476127	0.1039969395
459	0.8597458931	0.1039289158
460	0.8598585834	0.1038852232
461	0.8601574034	0.1038031694
462	0.8601865589	0.1037889411
463	0.8605593352	0.1036664752
464	0.8608065517	0.1035904237
465	0.8610082901	0.1035329027
466	0.8612297104	0.10347334
467	0.8617795987	0.1033105776
468	0.8619247195	0.1032601739
469	0.8622595232	0.1031578928
470	0.8622887354	0.1031451757
471	0.8627240205	0.1030169888
472	0.8630003029	0.1029363112
473	0.8633273359	0.1028227423
474	0.8635975159	0.1027459017
475	0.8636257459	0.1027313277
476	0.863820067	0.1026661377
477	0.8641849525	0.1025388549
478	0.864210133	0.1025274944
479	0.8642321048	0.1025175743
480	0.8642729777	0.1025023745
481	0.8645909757	0.1024210198
482	0.8650489545	0.102288216
483	0.8655141031	0.1021482388
484	0.8658356258	0.1020550876
485	0.8661353195	0.1019717378
486	0.8665498729	0.1018467566
487	0.8669761328	0.1017222129
488	0.8673079003	0.1016030963
489	0.8673174255	0.1015990285
490	0.8679196619	0.1014428915
491	0.8683101228	0.1013289767
492	0.868530499	0.1012589866
493	0.868550487	0.1012492991
494	0.8687841916	0.1011752179
495	0.8688976026	0.1011363813
496	0.868913777	0.1011289195
497	0.8693824664	0.1009858199
498	0.8695916954	0.1009298537
499	0.8700770925	0.1007701803
500	0.8706583966	0.1005837496
501	0.8707311343	0.1005552715
502	0.87107829	0.1004498454
503	0.8712831239	0.1003884172
504	0.8715372186	0.100304137
505	0.8717061583	0.1002344995
506	0.8717649033	0.1002046623
507	0.872004254	0.1001329291
508	0.8721268771	0.1000974733
509	0.8722225504	0.1000587651
510	0.8724287236	0.09998438946
511	0.8726291867	0.09991648766
512	0.8729809067	0.0998148671
513	0.8731941634	0.09974706859
514	0.8733761443	0.09969221902
515	0.873654813	0.09959844381
516	0.8739106728	0.09952109613
517	0.8742918714	0.09940340719
518	0.8744819031	0.09933230201
519	0.8747671759	0.09924465456
520	0.8750698382	0.09915119469
521	0.8751954334	0.09910509407
522	0.8752818226	0.09906317336
523	0.8756169167	0.09894803609
524	0.8758073783	0.09888562024
525	0.8759943936	0.09883720593
526	0.8760128766	0.0988262594
527	0.8763049311	0.09873198746
528	0.8767646417	0.09859001461
529	0.8770122263	0.09849743098
530	0.877138267	0.09845893347
531	0.8776069697	0.09832595543
532	0.8778156975	0.098246185
533	0.8779355573	0.09819312286
534	0.8783286391	0.09807402073
535	0.8785436833	0.09799211611
536	0.8787693135	0.09792482635
537	0.8790189974	0.0978409088
538	0.8794097954	0.0977152732
539	0.8795885776	0.09765830198
540	0.8796089855	0.09765120491
541	0.8799245936	0.09754404341
542	0.8800905167	0.0974796849
543	0.8802630172	0.09741021035
544	0.8803891869	0.09734274191
545	0.8808296514	0.09720889577
546	0.8809906125	0.09715764391
547	0.8812577467	0.09706138497
548	0.8815096522	0.09697058817
549	0.8819378221	0.0968413156
550	0.8820522081	0.0967946561
551	0.8821894222	0.0967411346
552	0.8822955302	0.09670954663
553	0.8823236114	0.09669981452
554	0.8823403401	0.09669309519
555	0.8824297677	0.09664970172
556	0.8824736465	0.09663654855
557	0.8825845136	0.09659787729
558	0.8826125261	0.09658742929
559	0.8828800911	0.09650247281
560	0.8830317728	0.09645593303
561	0.8831826831	0.09639892107
562	0.8833743228	0.09634423238
563	0.8836145139	0.09625522995
564	0.8836369535	0.09624659844
565	0.8837821892	0.09618861638
566	0.8840272559	0.09611002949
567	0.8843371314	0.09600336984
568	0.8844220135	0.09596991835
569	0.8848092894	0.09583930248
570	0.8848249556	0.0958340351
571	0.8849370345	0.0957805784
572	0.8851634179	0.0957129221
573	0.8853434849	0.0956580741
574	0.8854525934	0.09560977518
575	0.8855011167	0.09559311648
576	0.8856769334	0.09553860957
577	0.8859612133	0.09543986045
578	0.8860694661	0.0954005697
579	0.8861136899	0.09538231138
580	0.8862740957	0.09533385172
581	0.8866239906	0.09520408885
582	0.886884501	0.09511804732
583	0.8869052949	0.09510951443
584	0.8870187789	0.09508107856
585	0.8870248335	0.09507212175
586	0.8871190388	0.09504121057
587	0.88740426	0.09494843449
588	0.8874124199	0.0949388702
589	0.8875387133	0.09488792868
590	0.8879792765	0.09473356795
591	0.888087564	0.09470169673
592	0.8882588107	0.09464056313
593	0.8885079911	0.09454553135
594	0.8887197092	0.09446436546
595	0.8890931198	0.09432490331
596	0.8894592162	0.09422324083
597	0.8896451402	0.09417075881
